Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
"Gonzalez Lopez, Isidro",Talarrubia,Prision Orduña,1941-03-06,Muerto prisión / Espetxean hila
"Gonzalez Lopez, Santiago",Abanto,Eibar,1936-10-01,Muerto frente / Frontean hila
"Gonzalez Lorenzo, Felix",Alcubillas,Prision Orduña,1941-02-02,Muerto prisión / Espetxean hila
"Gonzalez Macia, Joaquin",Sestao,,1938-01-18,Fusilado / Fusilatua
"Gonzalez Macias, Felix",Abanto,Barazar,1937-04-07,Muerto frente / Frontean hila
"Gonzalez Marañon, Luis",Bilbo,Nafarrate,1936-12-06,Muerto frente / Frontean hila
"Gonzalez Martin, Luis",Barakaldo,Galdakao,1937-06-14,Muerto frente / Frontean hila
"Gonzalez Martin, Tomas",Las Arenas,Legutio,1936-12-02,Muerto frente / Frontean hila
"Gonzalez Martinez, Anastasio",Ortuella,Nafarrate,1936-12-05,Muerto frente / Frontean hila
"Gonzalez Martinez, Luciano",,,,Muerto frente / Frontean hila
"Gonzalez Martinez, Luis",Barakaldo,Irun,1936-08-22,Muerto frente / Frontean hila
"Gonzalez Martinez, Marcelino",Bilbo,Ubidea,1936-12-30,Muerto frente / Frontean hila
"Gonzalez Mata, Florentino",Zalla,Zugastieta,1937-05-04,Muerto frente / Frontean hila
"Gonzalez Medina, Bernardo",,Durango,1937-04-29,Muerto frente / Frontean hila
"Gonzalez Mendia, Leon",Ibarra,Otxandio,1937-04-05,Muerto frente / Frontean hila
"Gonzalez Mendiluce, Sergio",Barakaldo,Hospital Civil,1936-12-16,Muerto frente / Frontean hila
"Gonzalez Menendez, Angel",,,1937-05-22,Muerto frente / Frontean hila
"Gonzalez Mijangos, Hipolito",Sestao,Derio,1937-12-14,Fusilado / Fusilatua
"Gonzalez Moran, Valentin",,,,Muerto frente / Frontean hila
"Gonzalez Muñoz, Victoriano",,Amurrio,1937-05-31,Muerto frente / Frontean hila
"Gonzalez Nanclares, Enrique",Bilbo,Bernargoitia,,Muerto frente / Frontean hila
"Gonzalez Olayo, Antonio",Bergara,El Dueso,,Fusilado / Fusilatua
"Gonzalez Olivar, Mariano",Abanto,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Gonzalez Orive, Jose",,,,Muerto frente / Frontean hila
"Gonzalez Ortega, Cristobal",Albacete,Barazar,1937-04-07,Muerto frente / Frontean hila
"Gonzalez Ortiz, Pedro",Galdames,Lemoa,1937-06-03,Muerto frente / Frontean hila
"Gonzalez Palacios, Anastasio",Bilbo,Bilbo,1937-07-22,Fusilado / Fusilatua
"Gonzalez Palacios, Daniel",Asua,Gorbea-Murua,1936-12-03,Muerto frente / Frontean hila
"Gonzalez Pereda, Celestino",,Hospital Zornotza,1937-04-13,Muerto frente / Frontean hila
"Gonzalez Perez, Jose Antonio",Sestao,Burgos,1936-12-02,Muerto frente / Frontean hila
"Gonzalez Perez, Luis",San Andres,Ajuria,1937-04-30,Muerto frente / Frontean hila
"Gonzalez Pison, Bautista",Bilbo,Hospital Zornotza,1936-12-05,Muerto frente / Frontean hila
"Gonzalez Quevedo, Enrique",Gasteiz,Gasteiz,1936-11-13,Fusilado / Fusilatua
"Gonzalez Redondo, Maria Josefa",Barakaldo,Barakaldo,1937-06-13,Bombardeo / Bonbardaketan hila
"Gonzalez Repiso, Diego",Villanueva Del Rosario,Prision Orduña,1940-09-02,Muerto prisión / Espetxean hila
"Gonzalez Rios, Martin",,Lemoa,1937-06-02,Muerto frente / Frontean hila
"Gonzalez Rivero, Eleuterio",Arrigorriaga,Hospital Civil,1936-12-19,Muerto frente / Frontean hila
"Gonzalez Rodriguez, Jose",Deustu,Prision Deustu,1938-06-16,Fusilado / Fusilatua
"Gonzalez Rodriguez, Pedro",Erandio,Gernika,1937-04-29,Muerto frente / Frontean hila
"Gonzalez Rodriguez, Ramon",Elorrio,Asturias,,Muerto frente / Frontean hila
"Gonzalez Rojo, Honorato",Bilbo,Hospital Urkiola,1937-04-02,Muerto frente / Frontean hila
"Gonzalez Rojo, Sabino",Donostia,Donostia,1939-11-18,Fusilado / Fusilatua
"Gonzalez Rubio, Gregorio",Arrasate,Kanpazar,1937-04-20,Muerto frente / Frontean hila
"Gonzalez Ruiz, Jesus",Etxebarri,Etxebarri,1936-12-18,Muerto frente / Frontean hila
"Gonzalez Samano, Rafael",Castro Urdiales,Trucios,1936-07-22,Muerto frente / Frontean hila
"Gonzalez Sanchez, Buenaventura",Gijon,Durango,1937-05-04,Muerto frente / Frontean hila
"Gonzalez Sanchez, Enrique",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Gonzalez Sanchez, Galo",Bermeo,Markina,1936-09-28,Muerto frente / Frontean hila
"Gonzalez Sanchez, Perfecto",Geñes,Ubidea,1936-12-06,Muerto frente / Frontean hila
"Gonzalez Santamaria, Constantino",Gasteiz,,1937-03-31,Fusilado / Fusilatua
"Gonzalez Santisteban, Pedro",,,,Muerto frente / Frontean hila
"Gonzalez Seco, Agustin",Pasaia,Gernika,1937-04-26,Muerto frente / Frontean hila
"Gonzalez Segador, Fermin",Villanueva De La Serena,Prision Orduña,1940-10-29,Muerto prisión / Espetxean hila
"Gonzalez Sesma, Julian",Barakaldo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Gonzalez Silva, Nicanor",Barakaldo,Etxano,1937-05-09,Muerto frente / Frontean hila
"Gonzalez Sobrino, Ramon",,,,Muerto frente / Frontean hila
"Gonzalez Souto, Manuel",Abanto,Elorrio,1937-04-24,Muerto frente / Frontean hila
"Gonzalez Suarez, Jose",Asturias,Sollube,1937-05-13,Muerto frente / Frontean hila
"Gonzalez Tomas, Jose",Ponga,Sollube,1937-05-11,Muerto frente / Frontean hila
"Gonzalez Torre, Jose",,,,Muerto frente / Frontean hila
"Gonzalez Totorica, Pedro",Sestao,Bilbo,1937-12-16,Fusilado / Fusilatua
"Gonzalez Ugalde, Alberto",Basauri,Ubidea,1936-12-13,Muerto frente / Frontean hila
"Gonzalez Urquijo, Felipe",Ugao,Elosu,1936-11-30,Muerto frente / Frontean hila
"Gonzalez Valdes, Angel",Gijon,Euba,1937-05-12,Muerto frente / Frontean hila
"Gonzalez Vazquez, Angel",Esquivias,Prision Orduña,1941-05-09,Muerto prisión / Espetxean hila
"Gonzalez Vazquez, Francisco",Hermida,,1937-05-06,Muerto frente / Frontean hila
"Gonzalez Vicente, Marcelino",,,,Muerto frente / Frontean hila
"Gonzalez Villa, Jose",Medellin,Prision Orduña,1941-02-07,Muerto prisión / Espetxean hila
"Gonzalez Villaba, Lucas",Bilbo,Etxano,1937-05-16,Muerto frente / Frontean hila
"Gonzalez Villar, Epifanio",Ziordia,Hospital Basurto,1937-05-20,Muerto frente / Frontean hila
"Gonzalez Viteri, Miguel",Gasteiz,Gasteiz,1936-09-09,Fusilado / Fusilatua
"Gonzalez Viuda, Jose",San Salvador Del Valle,Durango,1937-04-27,Muerto frente / Frontean hila
"Gonzalez Yanguas, Santiago",Tolosa,Gijon,1937-10-12,Muerto frente / Frontean hila
"Gonzalez Yurre, Leonides",Gasteiz,Bizkargi,1937-05-16,Muerto frente / Frontean hila
"Gonzalez Zumalabe, Jose Luis",Donostia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Gonzalez, Ceferino",,Zornotza,1937-05-23,Muerto frente / Frontean hila
"Gonzalez, Cirilo",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Gonzalez, Genaro",Asturias,Cuartel Basurto,1937-05-13,Muerto frente / Frontean hila
"Gonzalez, Jose Maria",,Asturias,1937-02-21,Muerto frente / Frontean hila
"Gonzalez, Manuel",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Gonzalez, Santiago",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Gonzalez, Telesforo",,,1937-05-08,Muerto frente / Frontean hila
"Gonzalo Gonzalez, Manuel",Bilbo,Bizkargi,1937-05-17,Muerto frente / Frontean hila
"Gonzalo Marin, Alejandro",Donostia,Donostia,1936-10-09,Fusilado / Fusilatua
"Goñi Alayo, Pedro",Eibar,,,Fusilado / Fusilatua
"Goñi Arostegui, Hilario",,,,Muerto frente / Frontean hila
"Goñi Balmaseda, Francisco",Tolosa,Larrabetzu,1937-06-13,Muerto frente / Frontean hila
"Goñi Biurrun, Felisa",Donostia,Hernani,1936-10-23,Fusilado / Fusilatua
"Goñi Iza, Jose",Etxarri Aranatz,Hospital Basurto,1937-06-14,Muerto frente / Frontean hila
"Goñi Jorge, Felipa",Donostia,Donostia,1937-01-18,Fusilado / Fusilatua
"Goñi Urbaien, Regino",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Goñi, Gregorio",,Asturias,1937-02-22,Muerto frente / Frontean hila
"Gorbea Aldama, Victoriano",Añes(Araba),Txabalopea,1936-12-02,Muerto frente / Frontean hila
"Gorbea Llano, Nemesio",Valle De Mena,Ipistikarriaga,1937-04-07,Muerto frente / Frontean hila
"Gorbea San Juan, Encarnacion",Donostia,Donostia,1936-08-13,Bombardeo / Bonbardaketan hila
"Gorda, Julian",,Armintza,1937-05-19,Muerto frente / Frontean hila
"Gordo Diaz, Alberto",Bilbo,Dima,1937-01-13,Muerto frente / Frontean hila
"Gordoa Gonzalez, Manuel",Barakaldo,Artxanda,1937-06-16,Muerto frente / Frontean hila
"Gordon Villamor, Benito",Valle De Mena,Aramaio,1937-03-31,Muerto frente / Frontean hila
"Gordon, Salmantino",Valle De Mena,,1937-05-11,Muerto frente / Frontean hila
"Gorosabel Artola, Juan",,Elorrio,1937-04-30,Muerto frente / Frontean hila
"Gorospe Caracida, Reginio",Gares,Barazar,1937-04-06,Muerto frente / Frontean hila
"Gorospe Echeverria, Jose Manuel",Donostia,Donostia,1936-09-15,Fusilado / Fusilatua
"Gorostegui Mugica, Agustina",Alegia,Donostia,1936-08-08,Otras circunstancias / Beste batzuk
"Gorostidi Altuna, Juan",Alegia,Oiartzun,1936-11-07,Fusilado / Fusilatua
"Gorostidi Imaz, Pedro",Donostia,Lesaka,1936-09-28,Fusilado / Fusilatua
"Gorostidi Macazaga, Ambrosio",Bilbo,El Carmelo,1939-10-03,Fusilado / Fusilatua
"Gorostiza Bengoa, Edmundo",Zamudio,Sollube,1937-05-17,Muerto frente / Frontean hila
"Gorostiza Larracoechea, Francisco",Zeanuri,Hospital Basurto,1937-06-02,Muerto frente / Frontean hila
"Gorostiza Letona, Victoria",Arrasate,Arrasate,1937-04-18,Bombardeo / Bonbardaketan hila
"Gorostiza Zuazua, Josefa",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Gorozabel Bustinza, Carlos",Donostia,,,Desaparecido / Desagertua
"Gorrochategui Alday, Pedro",Bilbo,La Puebla,1936-12-04,Fusilado / Fusilatua
"Gorrochategui Bilbao, Eduardo",,,1937-05-30,Muerto frente / Frontean hila
"Gorrochategui Cortazar, Santiago",,,1937-06-04,Muerto frente / Frontean hila
"Gorrochategui Echevarria, Geronima",Donostia,Bilbo,1937-06-14,Bombardeo / Bonbardaketan hila
"Gorrochategui Marcelina, Emilio",,,,Muerto frente / Frontean hila
"Gorrochategui Otegui, Francisco",Zegama,Gateiz,1936-11-22,Fusilado / Fusilatua
"Gortiz, Nicolas",,Lekeitio,1937-05-02,Muerto frente / Frontean hila
"Gotia Solaun, Francisco",Laudio,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Gotxi Ispizua, Feliciano",Bermeo,Cantabrico,1937-01-16,Muerto frente / Frontean hila
"Goya Urbieta, Felix",Oiartzun,Eulate,1936-11-15,Fusilado / Fusilatua
"Goyaran Beloqui, Avelino",,Limpias,1937-07-10,Muerto frente / Frontean hila
"Goyarrola Aguirre, Jose",Galdakao,Bilbo,1937-05-19,Bombardeo / Bonbardaketan hila
"Goyenechea Achirica, Marcos",Bermeo,,1937-05-02,Muerto frente / Frontean hila
"Goyenechea Zubimendi, Agustin",Irun,Irun,1936-07-28,Muerto frente / Frontean hila
"Gracia Alonso, Marcelino",Bilbo,Otxandio,1937-04-01,Muerto frente / Frontean hila
"Gracia Ilardia, Carmelo",,,,Muerto frente / Frontean hila
"Gracia Urrutia, Juan Jose",,Galdakao,1937-06-15,Muerto frente / Frontean hila
"Graels Suñer, Ignacio",Deustu,Prision Deustu,1938-10-09,Fusilado / Fusilatua
"Grajal Jordan, Ramon",Badajoz,Donostia,1936-07-24,Muerto frente / Frontean hila
"Gramunt Franch, Jose",Deustu,Prision Deustu,1938-10-02,Fusilado / Fusilatua
"Granados Pinedo, Emiliano",Bilbo,Hospital Civil,1937-06-13,Muerto frente / Frontean hila
"Grande, Cristino",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Grandes Uriarte, Jose Maria",Donostia,Urnieta,1936-08-23,Muerto frente / Frontean hila
"Gras Gotanegra, Pedro",Bilbo,Otxandio,1936-12-03,Muerto frente / Frontean hila
"Gredilla Manero, Fortunato",Bilbo,,,Desaparecido / Desagertua
"Gregorio Gascon, Vicente",Donostia,Gijon,1938-01-24,Fusilado / Fusilatua
"Gregorio Santos, Rudesindo",Santurtzi,Otxandio,1936-12-02,Muerto frente / Frontean hila
"Grijalba Carreras, Jesus",Orduña,Tarragona,1940-05-01,Fusilado / Fusilatua
"Griño Solanes, Mariano",Deustu,Prision Deustu,1939-02-10,Fusilado / Fusilatua
"Guadilla Garcia, Maximo",Bilbo,Otxandio,1937-04-02,Muerto frente / Frontean hila
"Gual Abellaneda, Juan",Iruñea,Irun,1936-09-04,Muerto frente / Frontean hila
"Guembe Sola, Higinio",Donostia,Donostia,1939-12-07,Fusilado / Fusilatua
"Guena Gabicagojeascoa, Jose",,Lemoa,1937-06-07,Muerto frente / Frontean hila
"Guenechea Aguirrebengoa, Francisco",Basauri,Gernika,1937-05-02,Muerto frente / Frontean hila
"Guerediaga Aguinaga, Antonio",Castro Urdiales,Hospital Berriz,1937-04-20,Muerto frente / Frontean hila
"Gueregueta Gueregueta, Andres",,,,Desaparecido / Desagertua
"Guerendiain Salaverri, Nicolas",Irun,Irun,,Fusilado / Fusilatua
"Guerequiz Madariaga, Aniceto",Rigoitia,Bermeo,1937-05-05,Muerto frente / Frontean hila
"Guerra Ayarza, Ricardo",Bilbo,Etxaguen,1936-12-03,Muerto frente / Frontean hila
"Guerra Ereño, Eduardo",Durango,Zaratamo,1937-06-15,Muerto frente / Frontean hila
"Guerra Martin, Pedro",,Larrabetzu,1937-06-12,Muerto frente / Frontean hila
"Guerra Velasco, Estanislao",Zuatzu,Barakaldo,1937-06-13,Bombardeo / Bonbardaketan hila
"Guerrero Irus, Urcensinio",Abanto,Asturias,1937-02-24,Muerto frente / Frontean hila
"Guerrero Martinez-Olave, Tomas",,Hospital Karrantza,1937-07-28,Muerto frente / Frontean hila
"Guerrero Yerro, Jose",Portugalete,Eibar,1937-04-19,Muerto frente / Frontean hila
"Guerricabeitia, Joaquin",Markina,,,Fusilado / Fusilatua
"Guerricaechevarria Uriarte, Clara",Bilbo,Bilbo,1937-01-04,Bombardeo / Bonbardaketan hila
"Guesuraga Arate, Jose",Lekeitio,Bermeo,1937-05-02,Otras circunstancias / Beste batzuk
"Guevara Sanchez, Antonio",,Elorrio,1937-04-30,Muerto frente / Frontean hila
"Guezala Santa Coloma, Luisa",Trapagaran,Trapagaran,1937-06-16,Bombardeo / Bonbardaketan hila
"Guibelarde, Doroteo",,Bizkargi,1937-05-20,Muerto frente / Frontean hila
"Guijosa Lezuia, Luis",Donostia,Bergara,1937-04-03,Fusilado / Fusilatua
"Guijosa Sarasola, Francisco",Donostia,,1938-01-08,Muerto frente / Frontean hila
"Guillamon Mancisidor, Jose Maria",Bilbo,Gernika,1937-04-29,Muerto frente / Frontean hila
"Guillaron Guillaron, Manuel",Portugalete,Bilbo,1938-01-08,Fusilado / Fusilatua
"Guillaza, Jose",,Donostia,1936-07-23,Muerto frente / Frontean hila
"Guillen Exposito, Manuel",Badajoz,Prision Orduña,1941-03-30,Muerto prisión / Espetxean hila
"Guillen Tolosa, Juan Bautista",Tolosa,Asturias,1937-02-21,Muerto frente / Frontean hila
"Guillen, Pablo",Bilbo,Banderas,1940-02-18,Fusilado / Fusilatua
"Guillerme Martinez, Basilio",Corella,Lekeitio,1937-04-30,Muerto frente / Frontean hila
"Guimon, Enrique",,,,Desaparecido / Desagertua
"Guimon, Jose Javier",,Villarreal,,Desaparecido / Desagertua
"Guinea Albizuri, Estanislao",Delika,Laredo,1937-07-26,Muerto frente / Frontean hila
"Guinea Crespo, Cipriano",Bilbo,Eibar,1937-04-27,Muerto frente / Frontean hila
"Guirandaru, Enrique",,,1937-05-15,Muerto frente / Frontean hila
"Guirles Mateo, Antonio",Bilbo,Hospital Luxua,1937-05-11,Muerto frente / Frontean hila
"Guisado Cabellar, Constantino",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Guisado Sanchez, Antonio",Villanueva De La Serena,Prision Orduña,1941-02-22,Muerto prisión / Espetxean hila
"Guisasola Aguirre, Diego",,Eibar,1937-04-24,Muerto frente / Frontean hila
"Guisasola Arruti, Agustin",Donostia,Donostia,1937-03-25,Fusilado / Fusilatua
"Guisasola Mendiguren, Armando",Eibar,Hospital Basurto,1937-06-17,Muerto frente / Frontean hila
"Guisasola, Santos",,Gernika,1937-04-25,Muerto frente / Frontean hila
"Gulano Sirera, Pedro",Deustu,Prision Deustu,1939-02-28,Fusilado / Fusilatua
"Gulias Miñaur, Agapito",Bilbo,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Gurdiel Fernandez, Angel",Cangas De Tineo,Bermeo,1937-05-07,Muerto frente / Frontean hila
"Guridi Arrazola, Leonardo",Arrasate,Oiartzun,1936-10-25,Fusilado / Fusilatua
"Guridi Mugica, Ricardo",,,,Muerto frente / Frontean hila
"Gurruchaga Ansola, Eugenio",,,,Muerto frente / Frontean hila
"Gurruchaga Lasa, Blas",Azpeitia,Donostia,1939-12-20,Fusilado / Fusilatua
"Gurruchaga Martinez, Agapito",,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Gurruchaga Martinez, Roman",,,,Muerto frente / Frontean hila
"Gurruchaga Ortiz, Eugenio",Bilbo,Zornotza,1937-05-16,Muerto frente / Frontean hila
"Gurruchaga Ortiz, Roman",Bilbo,Bilbo,1937-07-19,Muerto frente / Frontean hila
"Gurruchaga, Jose",Donostia,Donostia,,Fusilado / Fusilatua
"Gurtubai Ibarrola, Carmelo",Basauri,Ubidea,1936-12-21,Muerto frente / Frontean hila
"Gurtubay Aielte, Martin",Galdakao,Urkiola,1937-04-15,Muerto frente / Frontean hila
"Gurtubay Dudagoitia, Francisco",,,,Muerto frente / Frontean hila
"Gurtubay Iraguen, Pedro",Basauri,Beasain,1936-07-23,Muerto frente / Frontean hila
"Guruceaga Arruabarrena, Manuel",Donostia,Hernani,1936-10-18,Fusilado / Fusilatua
"Guruceaga Arruabarrena, Venancio",Astigarraga,Etxano,1937-05-16,Muerto frente / Frontean hila
"Guruceaga Illarregui, Juan",Donostia,Hernani,1936-10-02,Fusilado / Fusilatua
"Guruceaga Oalechea, Angel",Donostia,Donostia,1939-06-25,Fusilado / Fusilatua
"Guruceta Alberdi, Valentin",Eibar,Eibar,1937-04-23,Muerto frente / Frontean hila
"Guruceta Aranaga, Fernando",Erandio,Zornotza,1937-05-22,Muerto frente / Frontean hila
"Gurudarena Beguiristain, Jose Maria",Tolosa,,1936-10-03,Fusilado / Fusilatua
"Gutierez, Manuel",Oñati,Burgos,1939-08-04,Fusilado / Fusilatua
"Gutierrez Alfaro, Victor",Valladolid,Errenteria,1936-08-30,Muerto frente / Frontean hila
"Gutierrez Alonso, Victor",Errenteria,Astigarraga,1936-08-30,Muerto frente / Frontean hila
"Gutierrez Aretxabala, Eusebio",Getxo,Hospital Basurto,1937-05-15,Muerto frente / Frontean hila
"Gutierrez Arzuaga, Dimas",Balmaseda,Aramaio,1937-04-01,Muerto frente / Frontean hila
"Gutierrez Bereciartua, Miguel",Santander,Zorroza,1937-04-23,Bombardeo / Bonbardaketan hila
"Gutierrez Bereciartua, Santiago",Bilbo,Bilbo,1937-06-12,Bombardeo / Bonbardaketan hila
"Gutierrez Campo, Gregorio",Bilbo,Bilbo,1936-09-25,Muerto frente / Frontean hila
"Gutierrez Celaya, Eusebio",Barakaldo,Barakaldo,1938-11-03,Fusilado / Fusilatua
"Gutierrez Cicero, Juan Cruz",,,,Muerto frente / Frontean hila
"Gutierrez De La Cruz, Reyes",Heredad De Los Barros,Prision Orduña,1941-02-07,Muerto prisión / Espetxean hila
"Gutierrez Diego, Antonio",Sestao,Asturias,1937-03-02,Muerto frente / Frontean hila
"Gutierrez Fernandez, Agapito",,,,Muerto frente / Frontean hila
"Gutierrez Fernandez, Jose Ciriaco",Hernani,Hernani,1936-10-21,Fusilado / Fusilatua
"Gutierrez Gandara, Pedro",,,,Muerto frente / Frontean hila
"Gutierrez Garay, Amador",Basauri,Orduña,1937-01-23,Muerto frente / Frontean hila
"Gutierrez Garcia, Fabian",Bilbo,Bilbo,1938-03-15,Fusilado / Fusilatua
"Gutierrez Garcia, Primitivo",Donostia,Asturias,,Muerto frente / Frontean hila
"Gutierrez Garulo, Antonio",Lezama,Bilbo,1938-03-12,Fusilado / Fusilatua
"Gutierrez Gimenez, Moises",Castro Urdiales,Trucios,1936-07-22,Muerto frente / Frontean hila
"Gutierrez Gonzalez, Juan",Llanes,Hospital Basurto,1937-05-14,Muerto frente / Frontean hila
"Gutierrez Gonzalez, Victor",Gasteiz,,1936-12-11,Fusilado / Fusilatua
"Gutierrez Granda, Miguel",,El Regato,1937-06-19,Muerto frente / Frontean hila
"Gutierrez Guemes, Mateo",Barakaldo,Eibar,1936-10-19,Muerto frente / Frontean hila
"Gutierrez Gutierrez, Raimundo",Sestao,Asturias,1937-02-21,Muerto frente / Frontean hila
"Gutierrez Hernandez, Agapito",Somorrostro,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Gutierrez Lantaron, Eusebio",Bilbo,Bilbo,1937-12-15,Fusilado / Fusilatua
"Gutierrez Leniz, Bernardo",Bilbo,Hospital Civil,1937-06-13,Muerto frente / Frontean hila
"Gutierrez Leniz, Fernando",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Gutierrez Lobo, Isaias",Turon,Durango,1937-04-30,Muerto frente / Frontean hila
"Gutierrez Lopez, Calixto",Bilbo,Arbazegi,1937-04-26,Muerto frente / Frontean hila
"Gutierrez Luco, Rafael",Bilbo,Izuskiza,1936-10-08,Muerto frente / Frontean hila
"Gutierrez Martinez, Jose",Muskiz,Legutio,1936-12-02,Muerto frente / Frontean hila
"Gutierrez Martinez, Julian",Barakaldo,Barakaldo,1939-01-07,Fusilado / Fusilatua
"Gutierrez Mimbrero, Manuel",Bienvenida,Prision Orduña,1941-06-10,Muerto prisión / Espetxean hila
"Gutierrez Nieto, Juan Antonio",Bilbo,Larrabetzu,1937-05-23,Muerto frente / Frontean hila
"Gutierrez Ortega, Angel",,Amurrio,1937-05-31,Muerto frente / Frontean hila
"Gutierrez Pablo, Eusebio",Barakaldo,Baranbio,1936-12-07,Muerto frente / Frontean hila
"Gutierrez Peña, Roque",Bilbo,Elorrio,1937-03-14,Muerto frente / Frontean hila
"Gutierrez Pereda, Gonzalo",Burgos,Durango,1937-04-26,Bombardeo / Bonbardaketan hila
"Gutierrez Perez, Raimundo",Bilbo,Zeanuri,1937-05-11,Muerto frente / Frontean hila
"Gutierrez Polanco, Olegario",,,,Muerto frente / Frontean hila
"Gutierrez Rodriguez, Lino",Bilbo,Getxo,1936-11-08,Muerto frente / Frontean hila
"Gutierrez Ruidaverts, Oscar",Bilbo,,1937-05-24,Muerto frente / Frontean hila
"Gutierrez Segura, Mariano",Argamasilla De Calatrava,Prision Orduña,1941-05-14,Muerto prisión / Espetxean hila
"Gutierrez Tovar, Luis",Donostia,Durango,1936-09-25,Bombardeo / Bonbardaketan hila
"Gutierrez Urcullu, Esteban",Portugalete,Portugalete,1940-08-30,Fusilado / Fusilatua
"Gutierrez Zorrilla, Jose Maria",Santurtzi,Ondarroa,1936-10-16,Muerto frente / Frontean hila
"Gutierrez, Alfonso",Markinez,"Donostia, Hospital",1936-07-26,Muerto frente / Frontean hila
"Gutierrez, Enrique",Bilbo,Sollube,1937-05-14,Muerto frente / Frontean hila
"Gutierrez, Jose Antonio",,Larrabetzu,1937-05-24,Muerto frente / Frontean hila
"Gutierrez, Lucas",,Eibar,1936-10-02,Muerto frente / Frontean hila
"Gutierrez, Lucio",Tolosa,Tolosa,1936-11-14,Fusilado / Fusilatua
"Gutierrez, Manuel",,,1937-05-15,Muerto frente / Frontean hila
"Gutierrez, Mariano",Gasteiz,,1936-08-08,Fusilado / Fusilatua
"Guviña Ibarrola, Lazaro",Barakaldo,Bilbo,1937-10-18,Fusilado / Fusilatua
"Guzman Benedicto, Dario",Hernani,Santander,1938-11-24,Fusilado / Fusilatua
"Guzman Castro, Casto",Gasteiz,Gasteiz,1936-09-17,Fusilado / Fusilatua
"Haro Alvarado, Marcelino",Santander,Eibar,1936-12-19,Muerto frente / Frontean hila
"Hazas Renedo, Baldomero",,,,Muerto frente / Frontean hila
"Hazas San Pedro, Bonifacio",Bilbo,Bilbo,1937-12-16,Fusilado / Fusilatua
"Hejido Perez, Francisco",Barakaldo,Markina,1937-02-24,Muerto frente / Frontean hila
"Helguera Helguera, Jose",Deustu,Bilbo,1937-12-17,Fusilado / Fusilatua
"Henales Luengo, Damian",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Heras Barrios, Felix",Donostia,Hernani,1936-10-10,Fusilado / Fusilatua
"Heras Blanco, Luis",Lutxana,San Cristobal,1938-05-22,Fusilado / Fusilatua
"Heras Rebollo, Vicente",Bilbo,Hospital Basurto,1937-06-19,Bombardeo / Bonbardaketan hila
"Herboso Trueba, Gabino",,Artxanda,1937-05-17,Muerto frente / Frontean hila
"Herce Palacios, Pedro",Calahorra,Sollube,1937-05-14,Muerto frente / Frontean hila
"Heredero Pinela, Jose",Donostia,Donostia,1936-10-03,Fusilado / Fusilatua
"Heredia Heredia, Agustin",Puente Vaquero,Prision Orduña,1938-10-11,Muerto prisión / Espetxean hila
"Heredia, Federico",Eibar,Usartza,1936-10-08,Muerto frente / Frontean hila
"Herera Lopez, Ramiro",Alconchel,Prision Orduña,1941-02-26,Muerto prisión / Espetxean hila
"Hermosa Ramirez, Julian",Basauri,Bilbo,1937-10-27,Fusilado / Fusilatua
"Hermoso Sarasa, Eduardo",Donostia,Ajuria,1937-04-30,Muerto frente / Frontean hila
"Hernaez Arejola, Prisco",Gasteiz,,1937-03-31,Fusilado / Fusilatua
"Hernaez Martinez, Adolfo",,,,Muerto frente / Frontean hila
"Hernaez Mendizabal, Valentin",Sestao,Karrantza,1937-06-21,Muerto frente / Frontean hila
"Hernan Palacios, Fermin",Sestao,Legutio,1936-12-12,Muerto frente / Frontean hila
"Hernandez Alvarez, Antonio",,,,Muerto frente / Frontean hila
"Hernandez Andino, Ismael",Portugalete,Bilbo,1938-03-12,Fusilado / Fusilatua
"Hernandez Arce, Jesus",,,1937-06-11,Muerto frente / Frontean hila
"Hernandez Arranz, Maria Pilar",Bilbo,Bilbo,1937-06-15,Otras circunstancias / Beste batzuk
"Hernandez Arrate, Nicasio",Gallarta,Zornotza,1936-12-05,Muerto frente / Frontean hila
"Hernandez Arroyo, Isidoro",San Salvador Del Valle,Eibar,1937-04-19,Muerto frente / Frontean hila
"Hernandez Blanco, Jose",Gasteiz,La Puebla,1936-12-14,Fusilado / Fusilatua
"Hernandez Blanco, Segundo",Gasteiz,San Cristobal,1938-05-22,Fusilado / Fusilatua
